Company Name,Logo,Jobs Page URL,Company Reviews,Function,Country,State,City,WorkEnvironment,EngineeringPositions,Status
Jamf,jamflogo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/Q7zmqDDJE_x2YlUx8K9nGg/Afrh8fBtiFj0lMQAcn6uD7SGdYU1M_qkJWHRHEIcNgKh-8_LiWahJ75vQPa9TZJHGxxd9zjOr4er1c9CVkZGNkLEJxXFz4iqUay-CLD7jVNnYRDWkGTdmVQh83V1LhWI7yBOf0jmCJdWjSkURFUz9g/LLKdG_55sL5EHtWf59bkJWU9sVUDTLgbX6R8Nl-uM18),https://www.jamf.com/about/careers/jobs/,"https://www.glassdoor.com/Overview/Working-at-Jamf-EI_IE636547.11,15.htm","Engineering,Sales",United States,Minnesota,Minneapolis,Remote,checked,Active
Juniper,juniper_networks_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/x6cIRP9I9J2h5NgKzPivtQ/Lkpj0gIPMzS9_HQOiysiSEuJYwVfBee3lFGr26FuylLjNucr_dEs75_iC39RU9si-KW_P-2XBiGXJa2QaFooY6l02VIV_2-_kY13qXoBMRP4UEFk29GnrOcgbveag6ZB5Gq6RBZMUCid-3BsmQ9HVzMbKYrzXVMiCilV-w3immY/UqkasJhcvVInsLC-h0bN6u6pEIzcSF0M1QdFgB9TFJU),https://careers.juniper.net/,"https://www.glassdoor.com/Overview/Working-at-Juniper-Networks-EI_IE7224.11,27.htm","Finance,Sales,Customer Success,Support,Engineering,Data",United States,California,Sunnyvale,"On-Site,Hybrid,Remote",checked,Active
Justworks,justworks.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/NGCJv-a_ZBtdTE_2n8havA/Wx98TBxQqyPTiKZ7E-38CeV1E1RcKdzwj7QC4QSW04ijH8xoQh6NRrr7_UUIENhG3QTfyEi1gnLH6BfMXgMN3lzpcfbddK6Bsa8OWOaHyv6EAnaEU1KwFxGm313A9TjIkEg1uV3LCSclAnBRLD_l0g/ukrsgQUtFEWCjXqfeI6UqFuKRRvG-_zGrwkvjxP_UBk),https://www.justworks.com/careers#jobs,"https://www.glassdoor.com/Overview/Working-at-Justworks-EI_IE915954.11,20.htm","Finance,Customer Success,Engineering,Marketing,HR,Product,Sales",United States,New York,New York City,"On-Site,Remote,Hybrid",checked,Active
Kodiak Robotics,kodiakrobotics_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/okWAqrSeYDSil_Mz1r1mxw/pxf60lK0K6r_zb_GB5FUuRduqUS-_InVwquEmYYzMQe9Q3Jw8zzs9EJe7tgH0Pp0Kqiv9VZ_AVodXQ-iB6X6cnHP-jYVZ9t50gtMHy60Q55YQavaBmZyJ3asCT54db0xTb90MGbdzHeYKZadWsd-H57-K7j9SDnucW5qlGcjAqg/zBQ3Lzf6I21MMEtYcD_QwETF85vAbGGn4YtWGbB7LgA),https://kodiak.ai/careers,"https://www.glassdoor.com/Overview/Working-at-Kodiak-Robotics-EI_IE2346649.11,26.htm","Engineering,Internship",United States,California,Mountain View,"On-Site,Hybrid",checked,Active
LangChain,langchain_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/w_OhUWJG4IxU12TRvKnARg/yCFuZP02IaT9-1Phbcm-iUCOkTedQ8PsQEwBk3UY5AytMw_WqKcpO9ywYeGwlmCJJmNF-BR8NymCq3PD_49SLv83dsUgKxkAC2mjgVThGL25vE76F_wTfjPt_Bm6T6_9d_icVssFq6vg7VFaOTf0PKsEGxkUL5YIqYIOgMQWTrc/OX7-k0CmD5FnhKuPZiFuIrjsDBvNXVkqAZUozfVMNH0),https://www.langchain.com/careers,,"Engineering,Product,Design",United States,California,San Francisco,On-Site,checked,Active
Meta,facebook_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/74_U-HXeCBBSOw9Fb0Sycw/dYvRdxBVmln9BmyGBrm_L57cCjFiVSxeRFO_yr2sPBYOvJT5BYRPTVPOEXwzcWtaV501-xgYE81rF6-QMf0_M8JcPk6b9t2GZk18Wt4NlxKFw1O6ZSOvGHlyarAWX8uRzzl1Nn_y16GhHjDdVrMCPA/-VYmla-wEkShH5WJBjRIRCjfZh5Pyc1FZbJq3yFHHgo),https://www.metacareers.com/jobs/,https://www.glassdoor.com/metacareers,"Finance,Marketing,Engineering,Product,Support,HR,Design,Internship,Data",United States,California,Menlo Park,"On-Site,Remote,Hybrid",checked,Active
Microsoft,microsoft.png (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/iC9WD7kVMwWHmNsLKf0GOA/bEVrmdFHNDFBZKQK-dg_El9vCYq0_ApFINTvg0B6Ao8Hd0bAyygOQk5B3WiWwlQ2IfDsyL-JHUX5Aj_LZc0l3z6HcGolAESdCR6hS2gIYEeNVXO3e_mq0ngueDu3KoJb3hcP-a-xLKA5E2-my4IZSw/T_vhdAkhPqpUSPoymuwup6gmeVpiYU88skDhwDm0pz8),https://careers.microsoft.com/v2/global/en/home.html,"https://www.glassdoor.com/Overview/Working-at-Microsoft-EI_IE1651.11,20.htm","Finance,Sales,Marketing,Engineering,Product,Customer Success,Support,HR,Design,Internship,Data",United States,Washington,Redmont,"On-Site,Remote,Hybrid",checked,Active
MongoDB,mongodbinc_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/9IW-gLPt5UVx4C2x-hZfdQ/WzGjpIXn8iDab7Ya-84Rb5-sGltuYSJIYEjC-yvbVywT115p9L6tvZBS_6aJaxhwJ532E2eZ7v9NsFuiVZdlfzEIehBkeIFRz2361FFUKw9rBSab71mEKOeWz8puBVkNAn4OlQC_W-ud03mT0q7TLg/5X__nSk9E8Jb490WqLmh8LmfLeMc5UnzrqzKTqfkY1Y),https://www.mongodb.com/company/careers/teams,"https://www.glassdoor.com/Overview/Working-at-MongoDB-EI_IE433703.11,18.htm","Engineering,Marketing,Design,Sales,HR",United States,New York,New York City,"On-Site,Remote",checked,Active
Monograph,monograph_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/0lGbSh9eo4Ganwx04Yk-SQ/3daQh0jGYmRthm1TQfn7cE6GcU1_KddQ1ZohRYFtD_SzmpG79jBshqhNGg1By7vA-vI42QrxEps3A8X9D5Ri6n4hFTebpPRLxeao8cthD4TNlBQeEP0Zx4IlzfCx0QAmLeuw6r9s_ble9wBZvPitZagngyojqz5e0cEjstmUpHs/SNd1mmTFJwauzfLslyRNPqw0Spoq1Xvkyd6MQ-ESi7Y),monograph.com/careers,"https://www.glassdoor.com/Overview/Working-at-Monograph-EI_IE5844012.11,20.htm","Sales,Engineering",United States,California,San Francisco,"Remote,Hybrid",checked,Active
MyShell,myshell.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/3SJyGDJ2t6dGEeD-gVaVjA/ZClJhrZUJNZgNnbJmtEl5NlwLafA3oUmcMRX4IExlnd_WLfTQc0qyflXLM5bZHZgqRL3i55ItKIFDP_QGgL611rWRwhIr-Op9fXSKhXl3TQoZs4AWjW9m5arsbJNS-C7yo_j2RMEfCprDkA_L0lZIQ/7qSSI_gpFheovjq_9kgDk7dmUezyad_g5ZW7URwPSeA),https://www.linkedin.com/company/ai-myshell/jobs/,"https://www.glassdoor.com/Overview/Working-at-Myshell-EI_IE9350721.11,18.htm","HR,Engineering",Hong Kong,,Hong Kong,Remote,checked,Active
Netapp,netapp_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/olipBYSfBlJHfxfYIfMPIw/Vc_bQLHZJD6mOHU0um1j_X4L6Rnpqh3TUri5OApbIMtBMKXLuhcKgVaSvsFEAFVq5P4cU1q5lrUHD8qYo7KQTUqDE4aaeTg37fIF_oECeks97Hw6aGMgaFwGa01Gj-2VnvKfuAY8xHlbd8x1Z5E13w/oXUYu2V0tS2tBowBZRqPcwwLZ5D61lp1e1_whf06xVg),https://careers.netapp.com/search-jobs,"https://www.glassdoor.com/Overview/Working-at-NetApp-EI_IE5406.11,17.htm","Sales,Engineering,Support",United States,California,San Jose,"On-Site,Remote,Hybrid",checked,Active
Netskope,netskope_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/uWqiQAouRXsHXqkgwvdyLQ/tCKJVYe0h58vKIr5RDhl1UWEUlBPqJSqyOiAV_B_WDDqG3b7i9O45PR9hkLjODBYuUHc4CSjIbcIq3j6Iae-VxGp27Wz68lxVp3KleFCjD3UbQrjA9j57kjKNKJ2r0RJM0bPo0XYRIOUM4fQzGxtqQ/ya8ttXPau_rGO9tXOhaGFV0fWNcITfEs4ffH6_X9eM8),https://www.netskope.com/company/careers/open-positions,"https://www.glassdoor.com/Overview/Working-at-Netskope-EI_IE717917.11,19.htm","Engineering,Customer Success,Support,Data,Finance,Marketing,HR,Product,Sales",United States,California,Santa Clara,"On-Site,Remote,Hybrid",checked,Active
NinjaOne,ninjaone_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/n-us63CLdwKgI47dXmnZBw/PkyygpHrPpP7MF0AyBNX1v98lybCF0FOwQ1eCuF5d7l4oNN6lEqtpsuxjF1zn5iDmCRYSTiTLZoYAM3xhbpoZ5rUf_8Fe9sKtyrsYxi--Aa9rB6f9UeIckDC4jAc-oOaytgF8pQwSmERi0XHa9W6Jg/4RLUXJnNzfUn316vkqNhLN4ZDx8kaoCMMEJbyJg7xAQ),https://www.ninjaone.com/careers/,"https://www.glassdoor.com/Overview/Working-at-NinjaOne-EI_IE1595050.11,19.htm","Finance,Engineering,Marketing,Sales,Support,Internship",United States,Texas,Austin,"Remote,On-Site,Hybrid",checked,Active
Nintendo,nintendo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/ZdmPLm6gMebs5LBDsSMDlw/m99aab4bKWHOaaJhq1-q-gjUiyXRJAp4eSq5XlU56_iYqLfq9tcxaYxFkw6sbPm00ur0KXUsFgGki-ihMWONeHGpAI72noDBTUCPTYqI1OGxpWd3-y8_b6ZDSBv8BdFeeSjXapNlvLNlhidBfeNeYYO6PxNsMs6Dce1Z9bBlrEs/KNKeoEJ4o58HbY_7BTzyit9lVWMSJ6K8xfaVMMvDeQU),https://careers.nintendo.com/job-openings/?loc=all?cat=all,https://www.glassdoor.com/Reviews/Nintendo-of-America-Reviews-E4173.htm,"Engineering,Marketing,Design,Data",United States,Washington,Redmont,"Hybrid,Remote,On-Site",checked,Active
Notion Labs,notion.png (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/Q6W7ANB_XfVh9W1Hvq4Bew/mDnCvMWMMNM_VvZMCexcIAWtdQHspGtyravynBysV_bY4VAG017DKTiZCxPnUwddCbzUxbismIpzWmuHvBsRQjIOSs7lpl8srxRBGx7OeDppqzS0zFXL0cweGd-LWx2AB1bPuFihrI4BayN-rYpVmg/gj6vMnG9vtI93aZdGFv8clYBKsej480RL7U4Z6BsayE),https://www.notion.so/careers,"https://www.glassdoor.com/Overview/Working-at-Notion-Labs-EI_IE3304926.11,22.htm","Customer Success,Engineering,Support,Data,Marketing,Product,Design,Sales,Internship",United States,California,San Francisco,"On-Site,Remote,Hybrid",checked,Active
NVIDIA,nvidia_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/STa81GhAsybaqwDXVl-a_w/b-1e7Yy6PdCN92r5T-2pWa3SoaFxwYgN6-n1x-lCRIaxxMsJXVWnIF8oer4nV5QxsYsXc4w0liCxkJLMi03KiWbL232yqtq8pmcX1zRhTOih38N9OCoyF-jpTbwXKwSsFVXMxxn2G66E0v5V0pEwXQ/gfieXP1YyIOMBBzgGZP3zbI7EjdPIlipr9hqqvzbJ7g),https://www.nvidia.com/en-us/about-nvidia/careers/,"https://www.glassdoor.com/Overview/Working-at-NVIDIA-EI_IE7633.11,17.htm","Engineering,Sales,Marketing,Finance,HR,Internship",United States,California,Santa Clara,"On-Site,Remote",checked,Active
Optiver,optiver_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/Qr0m1kWKvztfs4s3tagRbg/cAe9f0PWtViyaW1VKRdhVVchsoOFjk2fM7s-d7Hh6mnFEnzKLTklS9rgsKjQ999N7FydZnDdt16YSj86uFZ_T3pBEI4NsX_8ty7qNfhRXMaXLZnrbVOZOmS6WyEOFIOrUH5DeQhabA6coNy37sDLWQ/h0E0agg_vm378SxjntSQ349ey3oqeLKSXS1INhkIy4A),https://optiver.com/working-at-optiver/career-opportunities/,"https://www.glassdoor.com/Overview/Working-at-Optiver-EI_IE243355.11,18.htm","Sales,Data,Engineering,HR",Netherlands,,Amsterdam,On-Site,checked,Active
PandaDoc,pandadoc_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/rP1dkY50JFYfhrPJnUWtlA/Lkn7Oi1r0uomN-vVi-iQ1T-DQL-p6lKepUTxvYt5RwzsJaTpc944YHCaFX1KajfPucPB5sRF1N6lPCCFrTuPbMRe4t6vcIbuDUSFUTjfRKGMe0Wu2wRDAEyxJC0_W36htFdsk5IBcj6JcMzRg4lHXA/kRr-DvM0EWWRwaxNRVV0I3bdJG0nMZwkVDN_w-ZPjJE),https://www.pandadoc.com/careers/,"https://www.glassdoor.com/Overview/Working-at-PandaDoc-EI_IE776070.11,19.htm","Engineering,Finance,Marketing,Product,Sales",United States,California,San Francisco,Remote,checked,Active
Paypal,paypal_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/ybeoMXWv7xLfo3N5ciP6vg/zxGMsYckulNx5veF4PNM2EDoMWD8S_HpdFKDAumkEhw4XwH-f8hZjcvicouSuZ4uUY64iPxgluQSLuKNlvQ1WKS_BqHqlLtkiVYV3M82sxim_gY8ajyJeb3pu6QHiyZHMRjp-4hPXmZWktmXrHvzTg/Grg5z9zvnJQNBU0Z4TWOsT3T7HV9LmcWiUEPp9YgiKs),https://careers.pypl.com/home/,"https://www.glassdoor.com/Overview/Working-at-PayPal-EI_IE9848.11,17.htm","Finance,Customer Success,Support,Product,Engineering,Marketing,Data,Sales,Design",United States,California,San Jose,"On-Site,Remote",checked,Active
Phantom,phantomwallet_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/Cvk7EoxBFWqCfbf3MkSFng/FYrOWyneWMNUFD0cIkWWhGzaDL6D9NAMJrILJlK-1QhFdcCTAUj4GfbWS5AynkHL_9nwzZ-sb4PlUFoy4LOLBrEZZUdcTLYilR4Pl49PUOimlPnFK00T6FP5F7xb6qmtumMBlKK77ceOnP3phN5u0ALRXhnTOAQgu6Em1DYf6wc/IPLFRtMfM3cG5J-eqzJ0aYdBe5r-Osac5K86qWvGyhw),https://phantom.app/jobs,"https://www.glassdoor.com/Overview/Working-at-Phantom-CA-EI_IE8950007.11,21.htm","Engineering,Product,Design",United States,California,San Francisco,Remote,checked,Active
Pinterest,pinterest_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/u3mB6S2azcpQo-6K3JTs1A/rj7M-44kfvb8bOqTFhH-uUMOiOXGhZIAITcI9xvSUQF0l2jo00nZFQiFKljRF_ESM5La3RuRiZnLoL9OKPY5sAg2MuCy-S36HYHJlOyQUjf_IdX4NO79u9XDW8OX246A5Z6jnFHAEnAfG4BegayOP8iHD_wckcstzDLj3hAWtws/MwOuzaX6y7esl3cds1GvrXjCkyNyF68IW8L22lA1OLY),https://www.pinterestcareers.com/jobs/,https://www.glassdoor.com/Reviews/Pinterest-Reviews-E503467.htm,"Finance,Marketing,Sales,Engineering,Product,Customer Success,Support,HR,Design,Data",United States,California,San Francisco,"Remote,Hybrid,On-Site",checked,Active
Pluralsight,pluralsight.webp (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/YMkCWotbCHhKMuSN_Pueog/S8NBrijCt_ptA8mkfrCxmMVggtOUe-D0RwKtAVDhGQA-6S7KGP2tcQJzPzOOmPu_N0W6X5F4u6a6cYaoGNL3QEbf-0p9D2Oj12G5JUAeGRDWt5Kcp3nwA5RNjv2dpAVQvG86WqA0o01bgYUW7n7nvg/0vgHhqEF6J5ja0MLZV6n_a28rv4pK6KgjBze2XcyS8Y),https://www.pluralsight.com/careers,"https://www.glassdoor.com/Overview/Working-at-Pluralsight-EI_IE672636.11,22.htm","Sales,Engineering,Customer Success,Data,Product",United States,Utah,Drapper,"On-Site,Hybrid,Remote",checked,Active
Prophecy,prophecy.png (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/8rM8LsNCDj0OpMY9Kn5t2Q/MPEgFkuQgb21MxW-dvuygnfJpENOTpeDPOX47x-0Wr_HYiRVpsJWh7Zrt26dSktscNE6PjtXjTscUXKJHjOxiS7BI9BlhR3XtXh4dvKbnxLXGaGrX95Rvrk04kYqE9u5VZsUxqKjlcPh-ddOQgsMsA/6l2ATgYyNmGaW8mKE2EarYuZdA9FNwLnxp6lC5ekiAE),https://www.prophecy.io/careers,"https://www.glassdoor.com/Overview/Working-at-Prophecy-EI_IE6243414.11,19.htm","Engineering,Customer Success,Finance,Product,Sales",United States,California,Palo Alto,"On-Site,Remote,Hybrid",checked,Active
Remitly,remitly_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/gPEyOCd2GCVMAq8Rastgpw/DjBuwcRyViwYqI0pVQWmzjEJ44dlUj11EwivrgZg1QKs0orDAWQPyNeXJxsildKP1lcInScdjV3-nLmGOGcrRxjo5U1CLwCTubh4mDTOqImfzi26xn0lNq52Gxz4oJQbSYi9H_Jgn5qxVA_3wR21Dg/cNllJwCI8vWXQEjuItxTuRwup8cDmpmXeIIgUuLbOa0),https://careers.remitly.com/all-open-jobs/,"https://www.glassdoor.com/Overview/Working-at-Remitly-EI_IE1044836.11,18.htm","Finance,Engineering,Product,Customer Success,Sales,Design,HR,Marketing,Data",United States,Washington,Seattle,"On-Site,Hybrid",checked,Active
Rimini Street,rimini_street_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/_OKAzWNqwaL3uPVVXhQ4PA/HGDekAAZ3vDpv6Lgxqwf9rKJ7c82vOshxICxN3XYEL73gV7xRZsrZXZH_FTr5W4ncxF2u8U5M_NCrQbomA9Q2vYSlTb5YxdfYZC1ykFpqKluIvF86Aj6MF7HsYWS2uIpqSHgXgdFS_UYzGZ8yYLK4t0oY9946EHK9GHHKSRmBjY/CvOi-qa0rKvOGrRo7saxnQxJGyErBr32CwD5JN24SCQ),https://riministreet.wd1.myworkdayjobs.com/RiminiStreet,"https://www.glassdoor.com/Overview/Working-at-Rimini-Street-EI_IE314503.11,24.htm","Engineering,Finance,HR,Sales,Marketing",United States,Nevada,Las Vegas,"Remote,Hybrid",checked,Active
Salesforce,salesforce_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/EsHSykax8n4HykvijnzT4A/AaO1PT9t_CItfKUJwd75lsh2kSNFLk3Hgp73LPhrSiczV0BhYaRoEByrS4UtjiZZUqa97ukzAHVOVBXK0-FchEle_BTrWlX-MnmpcW3YaV1xYQX_enqpHKwCiRFJ6pydZeeiSBLg01ktQJo-djN-Lg/nNV_hvsYOSNd826qi8fNI57Gc9gdHHn-NH8j_wA-LQ0),https://careers.salesforce.com/en/jobs/?search=&country=United+States+of+America&pagesize=20#results,"https://www.glassdoor.com/Overview/Working-at-Salesforce-EI_IE11159.11,21.htm","Sales,Engineering,Product,Marketing,Customer Success",United States,California,San Francisco,"On-Site,Hybrid,Remote",checked,Active
Samsara,samsara_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/MIYz9yAQhtl_hbgbJaN2Jg/o6RuBLy39BzVqGzBqyN0ROKASD4MN61YIMFnVRL66i0vK-hae_EbSriKZOVXVyRVmZ7CjOVFN73Mq8OUfa8CBHL3FXpMK46snaX89RPUxS_Pl4kbVJSApntZl41u2wvG8S4PZQfiCrHk6f6ntIg5uovOxRw6MwQZdqVn8bfuHGc/bUcexkaRbqkyetm6xqNi-dEU4Rm88VuPugb_NVtwIa0),https://www.samsara.com/company/careers/roles,https://www.glassdoor.com/Reviews/Samsara-Reviews-E1169265.htm,"Finance,Sales,Marketing,Engineering,Product,Customer Success,Support,HR,Design,Internship",United States,California,San Francisco,"Remote,Hybrid,On-Site",checked,Active
SAP,sap_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/MH216ddsSaUnxcD_fh-G4Q/8ldjs5FZVt-6V1d-SPZk9yYpW62toyfdzPFV2wNMt1IyfCZZImPbC2lZRPwOyuRUm0GBxhzlnB6hqYSsYsZFDU51Mf5klpcYmr9Yk1jPovsRsVQVms2vX7cVLLL5yjn0Ixtf6DmV7R9AqXAv488uEA/gGvd_NaLhw0HhKfwdhRAINJC5UGKJ6DsJG53etGJlTE),https://jobs.sap.com/job,https://www.glassdoor.com/sap,"Finance,Sales,Marketing,Engineering,Product,Customer Success,Support,HR,Design,Internship,Data",Germany,Baden-Württemberg,Walldorf,"Hybrid,On-Site",checked,Active
ScaleAI,scaleai_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/MLILuQqM1SLrY_m6RPnSzA/_t5cY5aP3m6qichOEfFtquwBgDbGxk8SaLo_N2rktCqOzP4x2IGDJmI8Az9CNqmefI8zdsz0jm-wTaQ0fcJWMRIcPUvM_FSEOB2CaVLU4RjVPAPVOZUACmJRhPf6RJvVxNJ8rmADgJForqvzMZbH9Q/fjitktV2NTSiKaxHI6-Uu1rdu6bXxeiP0qzNvZVjBSs),https://scale.com/careers#open-roles,"https://www.glassdoor.com/Overview/Working-at-Scale-EI_IE1656849.11,16.htm","Product,Engineering,Finance,Marketing,HR,Sales",United States,California,San Francisco,"Hybrid,On-Site",checked,Active
SeatGeek,seatgeek_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/nnPYjMdrLZ_QbmQEricdpw/ykttIj5ucaLNPMFf-QehKdsa4fhihU50uxQ5BqohqmC-eA_5oaG9Awu8uzHdVW4h_R7dkCee-AqjaRmsSi4QVoGpCDC_iMlep-Wg_K-chvRuFG9r1IYopwbf_fGmpTQ5VCtY1ejV2PlZzEL-ZMM_0w/HuJ-MVWIc9ZPY8ijVkyY2LyvLMliME6LJIzjAz1eMx4),https://seatgeek.com/jobs,"https://www.glassdoor.com/Overview/Working-at-SeatGeek-EI_IE478188.11,19.htm","Finance,Customer Success,Engineering,Product,HR",United States,New York,New York City,"On-Site,Hybrid,Remote",checked,Active
Semgrep,semgrep_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/hjRm7Wt8TbsQlyQ-zbFB9w/3hQr0xdHfZ7_9yTMa_m-F9O3eK223vd2sV27N0oWRt8Gf4qEbJJJYfWYo8AVmklpkb7i0owngjGaogq78puz2omXLProtZZuAosb6CNDOMwTVvxv7g0WUKm2-Y1sKFyDI_-DDGsCqulH38OMzQ4jdcf7P6uJMytaZECKi4nahAo/VL_HtR0kB7WEpX1zr3PQs5HIGfXjzXuQbx6rfgTpu2I),https://semgrep.dev/about/careers/#job-board,"https://www.glassdoor.com/Overview/Working-at-Semgrep-EI_IE2853202.11,18.htm","Engineering,Marketing,HR,Sales",United States,California,San Francisco,"Remote,On-Site,Hybrid",checked,Active
SentinelOne,sentinelone_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/moL_8dl8Rmb-dzgZm42XbQ/ijmLd6C67rQRHDUDbB_JufOcaa0JG56eo8FgETrU8_alNdLBwC3Z_0oTtuLQXCE2Cgh5eCJ9pgPriiTELR9vfOo9bsEuZmY-C08PiDSaCtySCuGcDAsk1FvYE8hBsJSuw1gyW7kIwGqXwqW3XUnuHGfGyrjn7Y0EHvXCN920V58/0IV6G1caOO3QfTjW7-byN8lH8t33ahRPSD6p77uhL0A),https://www.sentinelone.com/careers/,https://www.glassdoor.com/Reviews/SentinelOne-Reviews-E1361978.htm,"Marketing,Engineering,Finance,Support,HR,Product",United States,California,Mountain View,"Remote,Hybrid,On-Site",checked,Active
ServiceNow,servicenow_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/Re2fX1t-oO-D1op5IHtd8w/YHqDgi06W_Bd7a1qvzzGPBXebX-41TbZXwDOC1xs30nqxPdZmCmF-Z2MwEPEqa6JDncs-FI1MVZNS96_AbIG8sX091AipWnWZTY9oOb830dWhCuMX-lgQvZsEKOqLCxio0bZ-PHwxw_sRX2Yy_GSXw/KiqKHw2oHxmY0WJP_PIV58iMza7586t5FFMYSuWQnDU),https://careers.servicenow.com/careers,"https://www.glassdoor.com/Overview/Working-at-ServiceNow-EI_IE403326.11,21.htm","Customer Success,Engineering,Finance,Marketing,Product,Design,HR,Sales,Internship,Data,Support",United States,California,Santa Clara,"On-Site,Hybrid,Remote",checked,Active
Siemens Digital Industries Software,siemenssoftware_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/X7rMO9K6Gk5C5lmN5Y6-oA/bHLHl4Y9XbxrMBhgkw_FybgskVItInJ-ca4zmozo5SE3y3SQbDsyQES-qMLU6zn8SD1fK_1wMJocwDy9xtSCdFSqMsIUW3aPhMfIRaRcL5jhroWHNXPah1kMF-kF0fHMmZJq8i9gaFpRSleUlxmSiLEi5q2SQwGvDABSwFTCwkc/hbUEjr5fs9Z22efrrid5r55kqvKWl-gakwiOSIKqfPw),https://www.sw.siemens.com/en-US/careers/,https://www.glassdoor.com/Reviews/Siemens-Digital-Industries-Software-Reviews-E34397.htm,"Finance,Marketing,Engineering,Sales,Product,Customer Success,Design",United States,Texas,Plano,"Remote,Hybrid,On-Site",checked,Active
SmartBear,smartbear_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/mVwEkR1VNDoCjxKWtJmV5g/XGuUARbXy45tz34dM8E01yARudSJI-2lfdHJuh_RdHjtCDNtqk6sHLBFszZqeAOlipDIanzcFNCHFx0afWz08lT7XHKKwCtSEMG-W3nAAknkMmkFveamte0Jh5qiPuq5tpUrLqUPOn3U2se2UvT7jw/gWoh5lp60qlRezyMR7qKIUa3dlTg2dQBs9vi218xCxs),https://smartbear.com/company/careers/,"https://www.glassdoor.com/Overview/Working-at-SmartBear-EI_IE410916.11,20.htm","Sales,Marketing,Engineering,Support,HR,Finance",United States,Massachusetts,Somerville,"On-Site,Hybrid,Remote",checked,Active
Smartsheet,smartsheet_com_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/AyVz8fjkF_apTijIOioeGA/VyyX66rhIDY_eCU5JTU-jlRQu-sVKbPvRxIVdNeO12rvUgD0EnWqK3SGGNXDlmznNN8vXCbkEkU9TdFT5D4LKALDTwxsjZ9_yfkHKR46RV9POJAUnZXBBlX8c6dElXxE1KnF9mMZ7RQJ8BfsN2X97x0rHTnqK74l_QgrKGxZMNA/DTNLgPIlPAmQiDLfRaKR7Uahhugnmu0InI0x5oSADyI),https://www.smartsheet.com/careers,"https://www.glassdoor.com/Overview/Working-at-Smartsheet-EI_IE438753.11,21.htm","Finance,Sales,Engineering,Product,Customer Success,Internship",United States,Washington,Bellevue,Remote,checked,Active
