Company Name,Logo,Jobs Page URL,Company Reviews,Function,Country,State,City,WorkEnvironment,EngineeringPositions,Status
Drata,drata_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/v3TMjKqN5gGJzOjh0lI7Xw/nslRtGMY__KOco6D0jbDSzFCTLUofiGjL4MmXrCFVqAlPyhzSHXs2VAkjZAgsukIwxWeemN68OxRLpu2Fj7Vb136lkYIOfID7O9aiHkQv-JAJ4CML3MH7TYZpuYQcco2xwLybB-9FR2yZux6UFTetg/yGAT4aQEIrtTMg4lhn-GE7Y0WCRCnXgLuj87kYsV8K8),https://drata.com/about/careers,"https://www.glassdoor.com/Overview/Working-at-Drata-EI_IE4333749.11,16.htm","Customer Success,Engineering,Finance,Marketing,HR,Sales",United States,California,San Diego,"On-Site,Remote",checked,Active
EarnIn,earnin.png (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/uaRwbKtkdg7ofJInPE1cDQ/Z18D6_eVwJyJQOl1_lNXs2T3rSSDs0zn85WVwvgjFahoREstzzTYs-Iw6HNnWxDptDFBkq0p0jZnGMed-u08yXs-YzOXndIsssVGmRc1JGI08X0aQeIY9nd5kBQ49kGVb8I9Nbfxc4rFPVTHOEhVZA/1oKx9Bny7wxdmra5o9hoe5ZwhZwJqzw6ysajU_Jb8yo),https://www.earnin.com/careers#open-jobs,"https://www.glassdoor.com/Overview/Working-at-EarnIn-EI_IE962632.11,17.htm","Finance,HR,Engineering,Product,Support",United States,California,Palo Alto,"Remote,Hybrid,On-Site",checked,Active
Epic Games,epic_games_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/4ihAxixxkfCyuJQoQ_n9zg/-OTeTrPD8uO3kEjhaHILJxjOzZMkBzkeVt9ZU0g07MK5wAhEweNeLQYGNvIlsZ0Z-7u6y928yIN95taKSCSLvkPYO2EEG2IBaiDIHlfM7lZoyCt9ActotYlL93J80l12LZQqFxNvJFOx3586nQWzSQ/zzBxsS8hl3QDIH2fd7GLSFQOg6tdDuvBC3MUiCOY4Zc),https://www.epicgames.com/site/en-US/careers/jobs,"https://www.glassdoor.com/Overview/Working-at-Epic-Games-EI_IE266904.11,21.htm","Finance,Engineering,Marketing,Product",United States,North Carolina,Cary,On-Site,checked,Active
ePlus Inc,eplus_technology_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/_G5BKqk6eQ6h_z8iJ5pAKA/-91WMtLXitz-3NotchXbBRV6YWR4fdCw1BA_43lEj2iH7n7L2h1gQP0v3wK8nM2nOh5y0nM7EgufXW_0uTMkdt0DbG1C_qISIsrrPJxljybRuM97xDuktVJyWAhfPDNO3D9C1I9dUTLU1f4dDoJUpn_BQT6Aad1iDFKLSEj0qz0/uxRSmmXyvnq7w0Zwv-0Ut5GdaE9a35mgVVZaOl6gwlA),https://careers.eplus.com/careers-home/,"https://www.glassdoor.com/Overview/Working-at-ePlus-EI_IE6409.11,16.htm","Engineering,Support",United States,Virginia,Herndon,"On-Site,Hybrid,Remote",checked,Active
Equinix,equinix_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/ICQ6ufG0TAfK1i_4uIQrzw/6MyFxFsZaLuQXl8g4v1l8M0Rtiy1QSAir8DARukn1ALs0Xank9WnbrUFD6cdEq0tEqlt5jEzSn8pNOE-XzMTPDz2hgUQT1gRIL1-P0yu8w_KbYghmAEVM7RTzvWn4pFajwWcS0nurBHxWH-ldps4lw/VhavI_kxvWNOGYG1WuE82F2yiLxZOapAf7LpTt3iYQ4),https://careers.equinix.com/jobs/search,"https://www.glassdoor.com/Overview/Working-at-Equinix-EI_IE11296.11,18.htm","Customer Success,Finance,Support,Internship,Product,Sales,Engineering",United States,California,Redwood City,"On-Site,Remote,Hybrid",checked,Active
Ernest,,https://www.joinernest.com/work-with-us,,"Engineering,Product,Sales,Data,Finance",United States,Florida,Miami,Remote,checked,Active
Fetch,fetch_rewards_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/Z33OoBZDPlYHEpEy3DlZqQ/jv8l_rjBiCu1clVFK1swxrymTXclngMjAwqs6KA_Gr-r1vu_xQNH-ZGv9uGzKon8hg4OZKFe8vyfoP2lsagZDi-MeapQ-5G2dYuhPKYQ3eS1fj2ulIuTi_l75A9vEpVBC4kQAVQmlvc1z3bAHmh5GQpQ5fFUFmZGwhWMEnOm_hY/mxtgKaNBJQQJYVwRPRB7-0znC3fQAo9KeoPm1bIRQrc),https://fetch.com/careers/jobs,https://www.glassdoor.com/Reviews/Fetch-Reviews-E1078413.htm,"Engineering,Product,Data",United States,Wisconsin,Madison,Remote,checked,Active
Fleetio,fleetio_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/jJ1fGpyqzOnqBz-YOrD7Uw/aOPniJQ1Q_zsiofL_P2wUNbkowxsJXoV5K1xT-DJ8DGiR0bYsZ5XvWzySz1f0PEuKgwyyyLTLCBrbYFqvODrfddfT7_e79yBXf_KaToYT9QeHwqKqnsLvY5BaXVIxot1Xw6AAdN7zc8UhV8ve-xVtDdX0PxlXTJUIa99X7eVRKo/XFPD2dyXL_6B7kWecA7qUsO0FvI5O0sLIEQUh6PIKKw),https://www.fleetio.com/careers/apply,"https://www.glassdoor.com/Overview/Working-at-Fleetio-EI_IE1745407.11,18.htm","Engineering,Marketing,Customer Success,Finance,Sales",United States,Alabama,Birmingham,Remote,checked,Active
Freddie Mac,freddie_mac_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/eQrNhwvr-I3iFarK0qT17A/EIuQY_RTKOTDSuZ6G-CP8AHdGPserayF-IFK36P6PPd2f2nwPg3z1zWw7LkvncUmTzaBfulEL3fzqFQLXrxXSTM7AQ3Uw17OCMoD_toniHzdp7S4afpvZjNtVBoGbYTFmwNtrAQPA-AaKBSvLuitHPdmXX-APTlOHdqMo-jGtdM/_kHAWGpljxUCXRI6O5jNQxgFwujdC8AIiOZ8W5wU6dk),https://careers.freddiemac.com/us/en,"https://www.glassdoor.com/Overview/Working-at-Freddie-Mac-EI_IE1585.11,22.htm","Finance,Engineering,Internship",United States,Virginia,McLean,"Hybrid,On-Site,Remote",checked,Active
Gemini,geminitrust_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/VPc7nbKZoR9rejOa9I0AlQ/MJaz9SphexytsT1IMXNT7vqzpUGK4tQWS-p1TDEBcyIWLZpZYtmHm9LdQZvPzCd_WlCUHGOsEBgYATrk237PHeGOLX7v-u-BPJWybBOdGnzaitr8p2a9VNEY25eKmpb3SSVHLVaf1EePkgj8dbYJ1C9w6vihmg2DnXFYWU4mpC4/ETjItXWSCYfbBdr6gRtIf5uidXceDyEfCE_7hH6t8lA),https://www.gemini.com/careers#open-roles,https://www.glassdoor.com/Reviews/Gemini-Reviews-E1400858.htm,"Finance,Marketing,Engineering,Product,Support,Design",United States,New York,New York CIty,"Remote,Hybrid",checked,Active
